STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro #,Basin #,Owner,Maintenance,Operator,Map #,Collect #,County Name,Basin Name,Agency Name,Hydro Area,Sensor1,sensor2,sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,,,
LGT,LAGUNITAS LAKE,799,37.947,-122.597,PETALUMA,2,1701,999,999,89,22,0,MARIN,COAST-MARIN,Marin Municipal Water District,SAN FRANCISCO BAY,2,15,,,,,,,,,,,,,,,,,,,,,,
LIB,LIBERTY ISLAND @ APPROX CNTR S END,0,38.2421,-121.6849,RIO VISTA,5,6501,999,999,58,17,0,SOLANO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,61,100,221,,,,,,,,,,,,,,,,,
LIC,LICHAU CREEK,600,38.317,-122.633,PETALUMA,2,1801,999,999,75,16,0,SONOMA,PETALUMA R,City of Petaluma,SAN FRANCISCO BAY,2,45,,,,,,,,,,,,,,,,,,,,,,
LIR,LIBERTY ISLAND - RD2068,0,38.32928085,-121.6939697,SACRAMENTO,5,6501,999,999,704,999,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,14,16,141,,,,,,,,,,,,,,,,,,,,
LIS,YOLO BYPASS AT LISBON,0,38.47478104,-121.5882263,FREEPORT,5,6501,700,999,704,999,0,YOLO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,14,20,21,25,28,61,62,100,141,169,221,,,,,,,,,,,,
LIY,LIBERTY ISLAND - YOLO BYPASS,0,38.32927704,-121.6939774,SACRAMENTO,5,6501,999,999,704,999,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,16,141,,,,,,,,,,,,,,,,,,,,,
LOD,LODI,40,38.1,-121.283,STOCKTON,6,8301,999,999,40,17,0,SAN JOAQUIN,MOKELUMNE R,National Weather Service,SAN JOAQUIN RIVER,2,,,,,,,,,,,,,,,,,,,,,,,
LPC,LAPACHET RANCH,260,38.032,-120.976,BELLOTA,6,8401,999,999,139,18,0,SAN JOAQUIN,CALAVERAS R,San Joaquin County,SAN JOAQUIN RIVER,16,,,,,,,,,,,,,,,,,,,,,,,
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,0,38.0964,-121.4961,TERMINOUS,6,9001,999,999,58,17,0,SAN JOAQUIN,SAN JOAQUIN R,US Geological Survey,SAN JOAQUIN RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
LSM,LOS MEDANOS,130,37.9973,-121.8564,ANTIOCH,2,2801,999,999,107,23,0,CONTRA COSTA,SF BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
LTR,LAS TRAMPAS,1760,37.834,-122.067,WALNUT CREEK,2,2001,999,999,301,22,0,CONTRA COSTA,EAST BAY,East Bay Regional Parks Fire-Rescue Services,SAN FRANCISCO BAY,2,4,9,10,11,12,13,14,26,30,31,32,77,78,,,,,,,,,,
LVQ,LOS VAQUEROS RESERVOIR,472,37.838,-121.726,BYRON,2,8151,999,999,97,23,0,CONTRA COSTA,KELLOGG CREEK,Contra Costa Water District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
M38,NF MOKELUMNE R AB TIGER CREEK,2338,38.446667,-120.489166,WEST POINT,6,8301,999,999,60,18,20,AMADOR,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,20,,,,,,,,,,,,,,,,,,,,,,,
M46,NF MOKELUMNE R BL ELECTRA DIVERSION,1980,38.420834,-120.548889,WEST POINT,6,8301,999,999,60,18,20,AMADOR,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,20,,,,,,,,,,,,,,,,,,,,,,,
M64,WEST POINT POWERHOUSE,2028,38.4209,-120.54958,WEST POINT,6,8301,999,999,60,0,20,ALAMEDA,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,48,272,,,,,,,,,,,,,,,,,,,,,,
M65,ELECTRA POWERHOUSE,686,38.33101,-120.6699,MOKELUMNE HILL,6,8301,999,999,60,0,20,AMADOR,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,48,272,,,,,,,,,,,,,,,,,,,,,,
MAB,MIDDLE RIVER ABOVE BARRIER,7,37.88518143,-121.4727631,STOCKTON,6,9001,999,999,704,999,17,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,20,21,25,,,,,,,,,,,,,,,,,,,,
MAC,MARSH CREEK RESERVOIR,205,37.89,-121.725,,2,2001,999,999,107,23,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,6,16,,,,,,,,,,,,,,,,,,,,,,
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,0,38.04280472,-121.9200897,PITTSBURG,5,6501,999,999,705,999,0,CONTRA COSTA,SACRAMENTO R,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,4,5,9,10,14,20,21,25,26,27,28,61,62,92,100,102,141,,,,,,
MBT,NF MOKELUMNE R BL TIGER CREEK AFTERBAY,2220,38.440277,-120.503891,WEST POINT,6,8301,999,999,60,18,20,AMADOR,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,20,41,,,,,,,,,,,,,,,,,,,,,,
MBW,MARSH CREEK AT BRENTWOOD,43,37.962552,-121.688089,BRENTWOOD,2,2001,999,999,107,22,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
MCC,COSUMNES RIVER NEAR MCCONNELL,5,38.35766602,-121.3437347,GALT,6,8201,999,999,704,999,0,SACRAMENTO,COSUMNES R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,169,,,,,,,,,,,,,,,,,,,,,
MCI,MCINTIRE ROAD,180,38.22,-121.038,LOCKEFORD,6,8301,999,999,139,17,0,SAN JOAQUIN,MOKELUMNE R,San Joaquin County,SAN JOAQUIN RIVER,16,,,,,,,,,,,,,,,,,,,,,,,
MCM,MORRISON CREEK AT MACK ROAD,13,38.478,-121.458,FLORIN,5,6501,999,999,500,17,0,SACRAMENTO,SACRAMENTO R,Sacramento Dept of Public Works,SACRAMENTO RIVER,1,2,16,45,,,,,,,,,,,,,,,,,,,,
MDA,MARSH CREEK AT DAINTY AVENUE,80,37.932581,-121.711218,BRENTWOOD,2,2001,999,999,107,22,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
MDE,MODESTO IRRIG DISTRICT OFFICE,91,37.65,-121.001,MODESTO,6,8601,999,999,206,23,0,STANISLAUS,TUOLUMNE R,Modesto Irrigation District,SAN JOAQUIN RIVER,2,,,,,,,,,,,,,,,,,,,,,,,
MDH,MT DIABLO PARK HEADQUARTERS,1600,37.8503,-121.9317,DANVILLE,2,8101,999,999,107,23,0,CONTRA COSTA,DELTA,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
MDM,MIDDLE RIVER AT MIDDLE RIVER,10,37.943,-121.534,KNIGHTSEN,6,8101,999,999,58,23,0,SAN JOAQUIN,DELTA,US Geological Survey,SAN JOAQUIN RIVER,1,20,21,25,41,100,221,,,,,,,,,,,,,,,,,
MDO,MODESTO RESERVOIR,210,37.657,-120.675,TURLOCK,6,8601,999,999,206,24,0,STANISLAUS,TUOLUMNE R,Modesto Irrigation District,SAN JOAQUIN RIVER,15,,,,,,,,,,,,,,,,,,,,,,,
MDZ,MENDEZ RANCH,322,38.062,-120.924,BELLOTA,6,8401,999,999,139,18,0,STANISLAUS,CALAVERAS R,San Joaquin County,SAN JOAQUIN RIVER,2,16,45,,,,,,,,,,,,,,,,,,,,,
MFD,MARSH CREEK FIRE DEPARTMENT,680,37.893,-121.865,DANVILLE,2,9001,999,999,107,23,0,CONTRA COSTA,SAN JOAQUIN R,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
MFR,MORRISON CREEK AT FLORIN ROAD,20,38.4985199,-121.4527283,FLORIN,5,6501,999,999,58,17,0,SACRAMENTO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,14,20,,,,,,,,,,,,,,,,,,,,,
MFV,MINER SLOUGH AT FIVE POINTS,23,38.29011536,-121.644783,SACRAMENTO,5,6501,999,999,704,999,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,14,,,,,,,,,,,,,,,,,,,,,,
MGS,MERCED RIVER NEAR G ST IN SNELLING,250,37.50383,-120.4524,SNELLING,6,8701,999,999,801,24,0,MERCED,MERCED R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
MHB,COSUMNES RIVER AT MICHIGAN BAR,168,38.50018692,-121.0452194,JACKSON,6,8201,700,999,58,17,0,SACRAMENTO,COSUMNES R,US Geological Survey,SAN JOAQUIN RIVER,1,8,14,20,41,169,,,,,,,,,,,,,,,,,,
MHO,MIDDLE RIVER NEAR HOWARD ROAD BRIDGE,0,37.876222,-121.383306,TRACY,6,8101,999,999,704,23,17,SAN JOAQUIN,DELTA,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,25,28,61,62,100,221,,,,,,,,,,,,,,,,,,
MHR,MIDDLE RIVER AT HOWARD ROAD BRIDGE,20,37.877,-121.384,STOCKTON,6,9001,999,999,704,23,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,5,14,25,100,141,,,,,,,,,,,,,,,,,,
MID,MID CANAL AT LA GRANGE,296,37.672,-120.443,TURLOCK,6,8601,999,999,206,24,0,STANISLAUS,TUOLUMNE R,Modesto Irrigation District,SAN JOAQUIN RIVER,20,,,,,,,,,,,,,,,,,,,,,,,
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,5,38.236027,-121.666055,RIO VISTA,5,6501,999,999,704,16,17,SOLANO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,20,21,25,28,41,61,62,100,221,222,223,224,,,,,,,,,,,
MKM,MOKELUMNE-MOKELUMNE HILL,575,38.313,-120.719,JACKSON,6,8301,999,999,86,18,0,AMADOR,MOKELUMNE R,East Bay Municipal Utility District,SAN JOAQUIN RIVER,8,65,66,260,261,262,263,264,265,,,,,,,,,,,,,,,
MKN,NF MOKELUMNE R BLW SNODGRASS SLOUGH,9,38.223138,-121.50677,,6,8301,999,999,704,16,2,SAN JOAQUIN,MOKELUMNE R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,14,100,146,,,,,,,,,,,,,,,,,,,,,
MKW,MOKELUMNE AT WEST POINT,1950,38.368,-120.544,WEST POINT,6,8301,999,999,58,18,0,CALAVERAS,MOKELUMNE R,US Geological Survey,SAN JOAQUIN RIVER,65,66,,,,,,,,,,,,,,,,,,,,,,
MLR,MALLORY RIDGE,2040,37.817,-121.779,DANVILLE,2,8101,999,999,97,23,0,CONTRA COSTA,DELTA,Contra Costa Water District,SAN FRANCISCO BAY,2,4,9,10,11,12,13,14,26,30,31,32,77,78,,,,,,,,,,
MOD,TUOLUMNE RIVER AT MODESTO,90,37.62687683,-120.9879913,MODESTO,6,8601,700,999,58,24,2,STANISLAUS,TUOLUMNE R,US Geological Survey,SAN JOAQUIN RIVER,1,5,14,20,25,41,100,169,,,,,,,,,,,,,,,,
MOK,MOKELUMNE R AT SAN JOAQUIN RIVER,0,38.1061,-121.5711,ISLETON,6,8301,999,999,5,17,0,SAN JOAQUIN,MOKELUMNE R,USGS/DWR,SAN JOAQUIN RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
MRB,SAN JOAQUIN R AT MAZE RD BRIDGE,39,37.6414,-121.2276,SAN JOAQUIN CITY,6,9001,999,999,1,23,0,STANISLAUS,SAN JOAQUIN R,CA Dept of Water Resources,SAN JOAQUIN RIVER,1,14,20,25,27,28,41,61,62,100,,,,,,,,,,,,,,
MRH,MARSH CREEK FIRE,740,37.8949,-121.8635,CONCORD,2,2801,999,999,107,23,0,CONTRA COSTA,SF BAY,Contra Costa County,SAN FRANCISCO BAY,1,16,,,,,,,,,,,,,,,,,,,,,,
MRS,MORMON SLOUGH AT BELLOTA (USACE),130,38.054,-121.012,BELLOTA,6,8401,999,999,56,17,0,CALAVERAS,CALAVERAS R,US Army Corps of Engineers,SAN JOAQUIN RIVER,1,2,14,20,45,169,,,,,,,,,,,,,,,,,,
MRU,MIDDLE RIVER AT UNDINE ROAD,0,37.8339,-121.386,LATHROP,6,9001,999,999,704,23,17,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,20,21,25,28,61,62,100,221,,,,,,,,,,,,,,,
MRW,MORROW ISLAND  DISTRIBUTION SYSTEM,0,38.11207,-122.098074,SUISUN CITY,5,8101,999,999,705,0,21,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,14,,,,,,,,,,,,,,,,,,,,,,
MRX,MIDDLE RIVER NEAR TRACY BLVD,13,37.881415,-121.467395,TRACY,6,9001,999,999,704,22,17,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,25,28,61,62,100,221,,,,,,,,,,,,,,,,,,
MRZ,MARTINEZ,8,38.02763748,-122.1404877,MARTINEZ,2,2001,999,999,705,999,0,CONTRA COSTA,EAST BAY,CA Dept of Water Resources/Div of Environmental Services,SAN FRANCISCO BAY,1,4,5,9,10,14,25,26,27,28,61,62,92,100,102,141,,,,,,,,
MSA,MURRAY CK NR SAN ANDREAS,880,38.2116,-120.6751,SAN ANDREAS,6,8301,999,999,58,17,2,CALAVERAS,MOKELUMNE R,US Geological Survey,SAN JOAQUIN RIVER,1,14,16,45,,,,,,,,,,,,,,,,,,,,
MSB,MORMON SLOUGH AT BELLOTA (ALERT),125,38.053,-121.01,BELLOTA,6,8401,999,999,139,17,0,SAN JOAQUIN,CALAVERAS R,San Joaquin County,SAN JOAQUIN RIVER,1,,,,,,,,,,,,,,,,,,,,,,,
MSD,SAN JOAQUIN RIVER AT MOSSDALE BRIDGE,31,37.786,-121.306,MANTECA,6,9001,999,999,705,23,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/Div of Environmental Services,SAN JOAQUIN RIVER,1,4,5,9,10,14,20,21,25,26,27,28,41,61,62,100,146,169,,,,,,
MSL,MONTEZUMA SLOUGH AT ROARING R,0,38.0934,-121.8872,FAIRFIELD,5,8101,999,999,705,17,21,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,14,25,27,28,61,62,100,,,,,,,,,,,,,,,,
MSN,MERCED RIVER NEAR SNELLING,260,37.502,-120.451,SNELLING,6,8701,700,999,706,24,0,MERCED,MERCED R,CA Dept of Water Resources/South Central Region Office,SAN JOAQUIN RIVER,1,14,20,41,,,,,,,,,,,,,,,,,,,,
MSP,MISSION PEAK,1580,37.517,-121.883,FREMONT,2,2101,999,999,40,23,0,ALAMEDA,ALAMEDA CR,National Weather Service,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
MTB,MIDDLE RIVER AT TRACY BLVD,20,37.881,-121.456,TRACY,6,9001,999,999,704,23,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,5,14,25,100,141,,,,,,,,,,,,,,,,,,
MTD,MOUNT DIABLO,3849,37.8816,-121.9141,LAYFAYETTE,2,2001,999,999,303,23,0,CONTRA COSTA,EAST BAY,San Ramon Valley Fire District,SAN FRANCISCO BAY,2,4,9,10,11,12,13,14,17,26,30,31,32,77,78,,,,,,,,,
MTZ,MT. ZION,2968,38.39,-120.6525,PINE GROVE,6,8301,999,999,3,18,0,AMADOR,MOKELUMNE R,CA Dept of Forestry and Fire Protection,SAN JOAQUIN RIVER,2,4,9,10,11,12,13,14,30,31,32,,,,,,,,,,,,,
MUP,MIDDLE RIVER AT UNION POINT,0,37.890778,-121.488361,TRACY,6,9001,999,999,704,23,17,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,25,28,61,62,100,221,,,,,,,,,,,,,,,,,
MUR,ANGELS CK BLW MURPHYS,2138,38.137,-120.469,MURPHYS,6,8501,999,999,610,17,0,CALAVERAS,STANISLAUS R,Utica Power Authority,SAN JOAQUIN RIVER,1,14,115,141,,,,,,,,,,,,,,,,,,,,
MVA,MT VACA,2611,38.395,-122.098618,VACAVILLE,5,8011,999,999,221,15,34,SOLANO,ULATIS CR,Solano County Water Agency,SACRAMENTO RIVER,45,,,,,,,,,,,,,,,,,,,,,,,
NAP,NAPA RIVER NEAR NAPA,25,38.36824417,-122.3033066,NAPA,2,1901,700,999,5,16,0,NAPA,NAPA R,USGS/DWR,SAN FRANCISCO BAY,1,14,20,27,41,146,169,,,,,,,,,,,,,,,,,
NCA,NICASIO,180,38.075,-122.757,POINT REYES STATION,2,1701,999,999,89,16,0,MARIN,COAST-MARIN,Marin Municipal Water District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
NGP,NEW HOGAN POOL,546,38.1503,-120.8125,VALLEY SPRINGS,6,8401,999,999,56,18,0,CALAVERAS,CALAVERAS R,US Army Corps of Engineers,SAN JOAQUIN RIVER,14,43,,,,,,,,,,,,,,,,,,,,,,
NGQ,CALAVERAS R BLW NEW HOGAN DAM,520,38.1481,-120.8239,VALLEY SPRINGS,6,8401,999,999,56,18,0,CALAVERAS,CALAVERAS R,US Army Corps of Engineers,SAN JOAQUIN RIVER,1,14,25,,,,,,,,,,,,,,,,,,,,,
NHG,NEW HOGAN LAKE,554,38.152,-120.812,VALLEY SPRINGS,6,8401,999,999,56,18,0,CALAVERAS,CALAVERAS R,US Army Corps of Engineers,SAN JOAQUIN RIVER,2,6,7,8,15,22,23,31,32,45,76,91,94,200,,,,,,,,,,
NHW,NEW HOGAN WEATHER,554,38.1508,-120.8156,VALLEY SPRINGS,6,8401,999,999,56,18,11,CALAVERAS,CALAVERAS R,US Army Corps of Engineers,SAN JOAQUIN RIVER,2,4,9,10,12,14,17,26,29,45,47,175,,,,,,,,,,,,
NML,NEW MELONES RESERVOIR,1135,37.9481,-120.525,SONORA,6,8501,999,999,50,24,0,CALAVERAS,STANISLAUS R,US Bureau of Reclamation,SAN JOAQUIN RIVER,6,8,15,22,23,45,48,68,71,74,76,85,94,200,,,,,,,,,,
NMQ,NEW MELONES DAM HQ,960,38,-120.49,JAMESTOWN,6,8501,999,999,56,17,13,TUOLUMNE,STANISLAUS R,US Army Corps of Engineers,SAN JOAQUIN RIVER,2,203,,,,,,,,,,,,,,,,,,,,,,
NMR,NORTH MOKELUMNE R AT W WALNUT GROVE RD,0,38.2232,-121.5071,WALNUT GROVE,6,8301,999,999,58,17,0,SAN JOAQUIN,MOKELUMNE R,US Geological Survey,SAN JOAQUIN RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
NMS,NEW MELONES,1400,37.95193863,-120.5258331,SONORA,6,8501,50,702,50,999,0,CALAVERAS,STANISLAUS R,US Bureau of Reclamation,SAN JOAQUIN RIVER,2,4,14,16,30,31,32,45,,,,,,,,,,,,,,,,
NMT,NEW MELONES POWERHOUSE TAILRACE,1135,37.946,-120.532,SONORA,6,8501,999,999,801,24,0,TUOLUMNE,STANISLAUS R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
NPH,NAPA R NR ST HELENA,170,38.498,-122.427,SAINT HELENA,2,1901,999,999,58,16,0,NAPA,NAPA R,US Geological Survey,SAN FRANCISCO BAY,65,66,72,,,,,,,,,,,,,,,,,,,,,
NSH,NAPA FIRE DEPARTMENT,35,38.283,-122.267,,2,1901,999,999,128,16,13,NAPA,NAPA R,Napa County,SAN FRANCISCO BAY,2,,,,,,,,,,,,,,,,,,,,,,,
NSL,NATIONAL STEEL,0,38.1221,-121.8881,BIRD'S LANDING,5,6501,999,999,705,17,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,14,20,21,25,27,28,61,62,100,,,,,,,,,,,,,,
NSN,NORTH SAN ANDREAS,617,37.612,-122.443,SAN BRUNO,2,2650,999,999,182,22,2,SAN MATEO,SAN MATEO CREEK,San Francisco PUC,SAN FRANCISCO BAY,14,16,45,,,,,,,,,,,,,,,,,,,,,
OAD,OLD RIVER NEAR DMC ABOVE DAM,4,37.81032181,-121.5421066,TRACY,6,9001,999,999,704,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,25,27,28,61,62,100,141,,,,,,,,,,,,,,,
OBB,STANISLAUS R AT ORANGE BLOSSOM BRIDGE,117,37.783,-120.75,OAKDALE,6,8501,700,999,706,24,0,STANISLAUS,STANISLAUS R,CA Dept of Water Resources/South Central Region Office,SAN JOAQUIN RIVER,1,14,20,25,41,100,169,,,,,,,,,,,,,,,,,
OBD,OLD RIVER NEAR DMC BELOW DAM,4,37.81096268,-121.5439377,TRACY,6,9001,999,999,704,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,25,100,141,,,,,,,,,,,,,,,,,,,
OBI,OLD RIVER AT BACON ISLAND (USGS),10,37.96936798,-121.5722198,BRENTWOOD,6,8101,999,999,5,999,0,SAN JOAQUIN,DELTA,USGS/DWR,SAN JOAQUIN RIVER,1,20,21,25,41,100,221,,,,,,,,,,,,,,,,,
OBS,STANISLAUS R NEAR ORANGE BLOSSOM BRIDGE,200,37.791,-120.765,KNIGHTS FERRY,6,8501,999,999,801,24,0,STANISLAUS,STANISLAUS R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
ODA,ORINDA FIRE STATION 43,700,37.899588,-122.170402,ORINDA,2,2001,999,999,107,21,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,2,16,45,,,,,,,,,,,,,,,,,,,,,
ODL,OAKDALE (CIMIS 194),165,37.727194,-120.85086,OAKDALE,6,9001,999,999,706,23,5,STANISLAUS,SAN JOAQUIN R,CA Dept of Water Resources/South Central Region Office,SAN JOAQUIN RIVER,31,32,45,,,,,,,,,,,,,,,,,,,,,
ODM,OLD RIVER AT DELTA MENDOTA CANAL,10,37.8102951,-121.5421448,TRACY,6,8101,999,999,5,999,0,SAN JOAQUIN,DELTA,USGS/DWR,SAN JOAQUIN RIVER,1,20,21,25,28,41,61,62,100,221,,,,,,,,,,,,,,
OH1,OLD RIVER AT HEAD,15,37.80755234,-121.3312531,TRACY,6,9001,999,999,704,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,20,21,25,28,41,61,62,100,115,221,,,,,,,,,,,,
OH4,OLD RIVER AT HIGHWAY 4,10,37.891109,-121.569168,BYRON,6,8101,999,999,58,23,0,CONTRA COSTA,DELTA,US Geological Survey,SAN JOAQUIN RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
OKC,OAKDALE CANAL,350,37.859,-120.632,KNIGHTS FERRY,6,8601,999,999,58,24,0,TUOLUMNE,TUOLUMNE R,US Geological Survey,SAN JOAQUIN RIVER,23,69,,,,,,,,,,,,,,,,,,,,,,
OKM,OAKLAND MUSEUM,30,37.8,-122.267,OAKLAND,2,2801,999,999,40,22,0,ALAMEDA,SF BAY,National Weather Service,SAN FRANCISCO BAY,2,,,,,,,,,,,,,,,,,,,,,,,
